#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,APPROVED,VERIFIED
1, "RDL 8/2004 003.A", "2011-05-22", "LA RODA,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
2, "RDL 8/2004 003.A", "2008-12-27", "FUENTE ALAMO,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
3, "RDL 8/2004 003.A", "2011-04-29", "ALICANTE,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
4, "RDL 8/2004 003.A", "2011-03-30", "ALATOZ,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
5, "RD 2822/98 010.1", "2011-08-12", "ASENSIO, LOS,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
6, "RD 772/97 001.1", "2011-02-25", "VILLARROBLEDO,Spain", "500.00 €, 0 puntos", "RD 772/97", YES, YES
7, "RDL 8/2004 003.A", "2011-02-19", "VILLARROBLEDO,Spain", "1000.00 €, 0 puntos", "RDL 8/2004", YES, YES
8, "RD 1428/03 117.1", "2011-06-20", "BARRAX,Spain", "200.00 €, 3 puntos", "RD 1428/03", YES, YES
9, "RDL 8/2004 003.A", "2011-05-27", "ELCHE DE LA SIERRA,Spain", "1000.00 €, 0 puntos", "RDL 8/2004", YES, YES
10, "RDL 8/2004 002.1", "2011-04-16", "ALBACETE,Spain", "650.00 €, 0 puntos", "RDL 8/2004", YES, YES
11, "RD 772/97 001.1", "2011-08-13", "FEREZ,Spain", "200.00 €, 0 puntos", "RD 772/97", YES, YES
12, "RD 2822/98 010.1", "2011-08-09", "ALBACETE,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
13, "RD 1428/03 151.2", "2011-08-15", "ELCHE/ELX,Spain", "200.00 €, 4 puntos", "RD 1428/03", YES, YES
14, "RD 1428/03 054.1", "2011-08-15", "MADRID,Spain", "200.00 €, 4 puntos", "RD 1428/03", YES, YES
15, "RDL 8/2004 002.1", "2011-08-16", "ISSO,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
16, "RD 2822/98 010.1", "2011-08-18", "ALMANSA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
17, "RD 1428/03 014.1A", "2011-08-18", "ALMANSA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
18, "RD 2822/98 012.42", "2011-08-08", "SANTA MARTA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
19, "RD 2822/98 026.1", "2011-06-23", "LA RODA,Spain", "10.00 €, 0 puntos", "RD 2822/98", YES, YES
20, "RD 2822/98 010.1", "2011-08-02", "ALMANSA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
21, "RD 2822/98 010.1", "2011-08-06", "ALBACETE,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
22, "RD 772/97 001.1", "2011-06-28", "ZARANDONA,Spain", "200.00 €, 0 puntos", "RD 772/97", YES, YES
23, "RD 2822/98 026.1", "2011-07-31", "GINETA, LA,Spain", "10.00 €, 0 puntos", "RD 2822/98", YES, YES
24, "RD 1428/03 117.1", "2011-05-29", "GINETA, LA,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
25, "RDL 8/2004 002.1", "2011-06-11", "ALCORAYA, LA,Spain", "800.00 €, 0 puntos", "RDL 8/2004", YES, YES
26, "RD 1428/03 118.1", "2011-04-13", "BAEZA,Spain", "200.00 €, 3 puntos", "RD 1428/03", YES, YES
27, "RD 1428/03 014.2", "2011-08-02", "ALBACETE,Spain", "80.00 €, 0 puntos", "RD 1428/03", YES, YES
28, "RDL 8/2004 003.A", "2011-08-23", "ROJALES,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
29, "RD 2822/98 010.1", "2011-08-16", "REALON, EL,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
30, "RDL 8/2004 003.A", "2011-07-05", "ALICANTE,Spain", "1500.00 €, 0 puntos", "RDL 8/2004", YES, YES
31, "RD 2822/98 010.1", "2011-07-20", "ALBACETE,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
32, "RD 2822/98 026.1", "2011-07-30", "ALBACETE,Spain", "10.00 €, 0 puntos", "RD 2822/98", YES, YES
33, "RD 1428/03 010.2", "2011-07-21", "ALMENDRALEJO,Spain", "80.00 €, 0 puntos", "RD 1428/03", YES, YES
34, "RD 1428/03 117.1", "2011-08-12", "ARGAMASON,Spain", "200.00 €, 3 puntos", "RD 1428/03", YES, YES
35, "RD 1428/03 103.1", "2011-08-12", "ARGAMASON,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
36, "RD 1428/03 106.2", "2011-08-29", "MADRIGUERAS,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
37, "RD 2822/98 010.1", "2011-08-17", "ALMANSA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
38, "RD 2822/98 010.1", "2011-08-21", "ALMANSA,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
39, "RD 1428/03 117.1", "2011-08-21", "MADRIGUERAS,Spain", "200.00 €, 0 puntos", "RD 1428/03", YES, YES
40, "RDL 8/2004 003.A", "2011-08-21", "ALMANSA,Spain", "1000.00 €, 0 puntos", "RDL 8/2004", YES, YES
41, "RD 2822/98 021.1", "2011-08-01", "ALBACETE,Spain", "200.00 €, 0 puntos", "RD 2822/98", YES, YES
42, "RD 1428/03 052.1", "2011-06-18", "CEUTA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
43, "RD 1428/03 048.1", "2011-07-01", "VILLARROBLEDO,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
44, "RD 1428/03 048.1", "2011-05-01", "ALICANTE/ALACANT,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
45, "RD 1428/03 048.1", "2011-05-02", "BARCELONA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
46, "RD 1428/03 048.1", "2011-07-12", "CONSUEGRA DE MURERA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
47, "RD 1428/03 052.1", "2011-07-26", "SILES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
48, "RD 1428/03 048", "2010-05-09", "ALBACETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
49, "RD 1428/03 048", "2010-10-16", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
50, "RD 1428/03 048", "2010-10-29", "ALBAL,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
51, "RD 1428/03 048", "2010-11-15", "SANTIAGO DE LA RIBERA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
52, "RD 1428/03 048", "2011-03-06", "LA CAROLINA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
53, "RD 1428/03 048", "2011-04-05", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
54, "RD 1428/03 048", "2011-05-14", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
55, "RD 1428/03 048", "2011-05-14", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
56, "RD 1428/03 048", "2011-06-05", "ALICANTE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
57, "RD 1428/03 048", "2011-06-05", "ALICANTE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
58, "RD 1428/03 048", "2011-07-19", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
59, "RD 1428/03 048", "2011-07-19", "FUENLABRADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
60, "RD 1428/03 048", "2011-07-19", "SAN VICENTE RASPEIG,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
61, "RD 1428/03 048", "2011-07-20", "AZUQUECA DE HENARES,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
62, "RD 1428/03 048", "2011-07-21", "HUERCAL-OVERA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
63, "RD 1428/03 048", "2011-07-23", "ALBACETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
64, "RD 1428/03 048", "2011-07-24", "ALBACETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
65, "RD 1428/03 048", "2011-07-25", "BURJASOT,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
66, "RD 1428/03 048", "2011-07-23", "ALBACETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
67, "RD 1428/03 048", "2011-07-25", "HOYO DE MANZANARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
68, "RD 1428/03 048", "2011-07-25", "ALBACETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
69, "RD 1428/03 048", "2011-07-26", "CALELLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
70, "RD 1428/03 048", "2011-07-27", "VERSALLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
71, "RD 1428/03 048", "2011-07-27", "ORXETA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
72, "RD 1428/03 048", "2011-07-25", "PAMPLONA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
73, "RD 1428/03 048", "2011-07-28", "COSLADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
74, "RD 1428/03 048", "2011-07-29", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
75, "RD 1428/03 048", "2011-07-29", "TORREJON DE VELASCO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
76, "RD 1428/03 048", "2011-07-29", "MOSTOLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
77, "RD 1428/03 048", "2011-07-29", "ALCOBENDAS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
78, "RD 1428/03 048", "2011-07-29", "TORREJON DE CALZADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
79, "RD 1428/03 048", "2011-07-29", "ALPEDRETE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
80, "RD 1428/03 048", "2011-07-29", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
81, "RD 1428/03 048", "2011-07-29", "OCA�A,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
82, "RD 1428/03 048", "2011-07-29", "MOSTOLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
83, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
84, "RD 1428/03 048", "2011-07-31", "SAN FERNANDO HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
85, "RD 1428/03 048", "2011-07-31", "COLMENAR VIEJO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
86, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
87, "RD 1428/03 048", "2011-07-30", "VENTAS DE RETAMOSA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
88, "RD 1428/03 048", "2011-07-30", "ALCORCON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
89, "RD 1428/03 048", "2011-07-31", "MOSTOLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
90, "RD 1428/03 048", "2011-07-31", "NAVALCARNERO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
91, "RD 1428/03 048", "2011-07-30", "TOLEDO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
92, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
93, "RD 1428/03 048", "2011-07-30", "PINTO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
94, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
95, "RD 1428/03 048", "2011-07-31", "MOSTOLES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
96, "RD 1428/03 048", "2011-08-01", "POZUELO DE ALARCON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
97, "RD 1428/03 048", "2011-08-01", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
98, "RD 1428/03 048", "2011-08-01", "COLMENAR VIEJO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
99, "RD 1428/03 048", "2011-07-31", "ALCALA DE HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
100, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
101, "RD 1428/03 048", "2011-07-31", "VILLAMAYOR,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
102, "RD 1428/03 048", "2011-08-01", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
103, "RD 1428/03 048", "2011-08-01", "CARTAGENA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
104, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
105, "RD 1428/03 048", "2011-07-30", "MAJADAHONDA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
106, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
107, "RD 1428/03 048", "2011-08-01", "PLASENCIA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
108, "RD 1428/03 048", "2011-07-30", "GALAPAGAR,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
109, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
110, "RD 1428/03 048", "2011-08-01", "SAN SEBASTIAN REYES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
